claim_id,afirmacao,impacto,status
C1,"Dashboards profissionais (Stripe) mostram só métricas que MUDAM comportamento/decisão do usuário, não tudo que existe","alto — justifica cortar decoração e cards redundantes",Verdade Provavel Forte
C2,"Restrição visual (whitespace, tipografia) constrói confiança mais que decoração","alto — contradiz direção neubrutalista/glassmorphism anteriores",Verdade Provavel Forte
C3,"Funil de vendas real = estágios sequenciais com % de conversão entre eles + taxa de abandono + tempo em estágio, não é um gráfico decorativo","crítico — define o que 'funil' precisa ser de fato",Verdade Provavel Forte
C4,"Funil de e-commerce padrão = Carrinho → Checkout iniciado → Envio/Pagamento → Pedido completo, com taxa média de abandono ~70%","alto — dá o vocabulário certo de estágios",Verdade Absoluta (Baymard, 14+ anos, 150+ auditorias, fonte primária de pesquisa)
C5,"A pergunta certa de um funil é ONDE no processo as pessoas caem, não só o total final","crítico — funil sem essa resposta não serve pra nada",Verdade Absoluta (Baymard)
C6,"Data/ink ratio de Tufte: maximizar tinta que representa dado, minimizar decoração — reduz distração e distorção","crítico — princípio de autoridade que invalida abordagens puramente decorativas",Verdade Absoluta (fonte primária do próprio Tufte)
C7,"Em salas de operação/comando, operadores perdem até 25% de incidentes críticos quando dado está fragmentado — precisa de camada unificada mostrando só o que importa","alto — justifica um painel central de funil, não vários cards soltos",Verdade Provavel Forte
C8,"Funil profissional (Mixpanel/Amplitude, padrão de indústria) = barras horizontais empilhadas de cima a baixo, largura = quantidade, drop-off visível entre estágios","crítico — define a forma visual concreta a implementar",Verdade Provavel Forte
C9,"Fórmula de legibilidade a distância: altura mínima do texto (polegadas) = distância de visualização (pés) × 0.01 a 0.014","médio — dá parâmetro numérico concreto pra tamanho de fonte na TV",Verdade Provavel Forte
C10,"Minúsculas/title case são MAIS legíveis a distância que CAIXA ALTA — contraria o uso pesado de maiúsculas nas versões anteriores do dashboard","alto — erro concreto a corrigir nas versões já entregues",Verdade Provavel Forte
C11,"A planilha real do Matheus (DADOS BRUTOS) não contém nenhum registro de carrinho abandonado, pix gerado (não pago) ou cartão recusado — só variações de 'pago com sucesso' (paid/Efetivado/authorized/APPROVED)","crítico — bloqueia a construção do funil pedido com dado real até a origem (checkout) passar a enviar esses eventos",Verdade Absoluta (consulta direta e completa à API da planilha, 4999 linhas, 2 abas confirmadas)
